name,on,off,sentence,Objects
MOT,1114378,1115636,now you've got the stuff ,stuff
MOT,1115636,1116786,that you can take out ,hat
MOT,1119731,1122501,what ,hat
MOT,1129778,1131886,the babys nice ,baby
MOT,1132925,1133758,here what are you looking for ,hat
MOT,1134420,1136920,i found da piggy ,piggy
MOT,1136920,1141158,here comes the piggy ,piggy
MOT,1142186,1143845,want the piggy ,piggy
MOT,1152375,1153098,i'm right here ,
MOT,1153098,1154038,i'm right here ,
MOT,1154038,1155830,where you going ,
MOT,1155830,1158105,what ,hat
MOT,1158105,1160581,can you get the rug ,rug
MOT,1160581,1161348,can you get the rug ,rug
MOT,1161348,1161640,whoa ,
MOT,1161640,1162505,careful ,
MOT,1162505,1163748,careful please ,
MOT,1163748,1169616,no you can't lean over that far sweetie pie ,hat
MOT,1169616,1170625,okay mot hold it ,
MOT,1170625,1172693,you're gonna topple out ,
MOT,1172693,1178610,careful ,
MOT,1182946,1183395,come here ,
MOT,1185333,1186506,sit for me ,
MOT,1186506,1189773,ahhah ,
MOT,1189773,1193543,there's the funny face ,
MOT,1194778,1197968,peek ,
MOT,1197968,1200381,peek ,
MOT,1200381,1202103,mot wear funny glasses ,glasses
MOT,1202103,1203723,on eyes ,
MOT,1203723,1206358,ahhah chi wear funny glasses ,glasses
MOT,1206358,1209736,mot wear funny glasses ,glasses
MOT,1209736,1211346,oh silly mot ,
MOT,1211346,1212656,oh silly mot ,
MOT,1228338,1229845,yes ,
MOT,1234773,1235425,thank you ,
MOT,1235425,1236553,mhm ,
MOT,1236553,1243138,ahhah i hear the music ,music
MOT,1243138,1245261,pretty bird ,
MOT,1245261,1246736,pretty bird ,
MOT,1246736,1250275,can you make the birdie sing ,birdie
MOT,1250275,1254168,ahhah can you make the birdie sing ,birdie
MOT,1254168,1256275,ahhah there the birdie sings ,birdie
MOT,1259758,1262341,ahhah ,
MOT,1262341,1263783,ahhah ,
MOT,1263783,1265130,there's the birdie ,birdie
MOT,1265130,1269135,what sweetie ,hat
MOT,1269135,1276791,is the rug rough ,rug
MOT,1276791,1278845,careful please ,
MOT,1278845,1283181,see what else ,hat
MOT,1283181,1286140,ahhah where's the sheep ,sheep
MOT,1286140,1287245,sheep ,sheep
MOT,1287245,1289803,sheep says baao baao ,sheep
MOT,1289803,1291981,baao baao ,
MOT,1291981,1308925,what are you doing ,hat
MOT,1309995,1311116,careful ,
MOT,1311116,1316158,you lifting up the rug ,rug
MOT,1316158,1317590,you getting under ,
MOT,1317590,1319786,getting under ,
MOT,1319786,1321188,under the rug ,rug
MOT,1321188,1322828,silly silly careful ,
MOT,1322828,1324363,careful ,
MOT,1324363,1327881,what else do you see ,hat
MOT,1327881,1330898,ahhah back to the book ,book
MOT,1330898,1340451,chi ,
MOT,1340451,1346698,what are you looking for ,hat
MOT,1349383,1351831,chi no sir ,
MOT,1351831,1353750,no sir ,
MOT,1353750,1356271,baby get hurt that way ,hat baby
